Aspect,Elevation,Treatment,spp
West,8k,control,27
West,8k,control,29
West,8k,control,26
West,8k,control,27
West,8k,control,28
West,8k,control,28
West,8k,control,27
West,8k,control,25
West,8k,control,24
West,8k,control,29
West,8k,clear_cut,20
West,8k,clear_cut,20
West,8k,clear_cut,22
West,8k,clear_cut,23
West,8k,clear_cut,18
West,8k,clear_cut,19
West,8k,clear_cut,18
West,8k,clear_cut,20
West,8k,clear_cut,19
West,8k,clear_cut,18
West,10k,control,16
West,10k,control,14
West,10k,control,16
West,10k,control,18
West,10k,control,17
West,10k,control,15
West,10k,control,16
West,10k,control,17
West,10k,control,18
West,10k,control,16
West,10k,clear_cut,15
West,10k,clear_cut,14
West,10k,clear_cut,16
West,10k,clear_cut,16
West,10k,clear_cut,16
West,10k,clear_cut,16
West,10k,clear_cut,15
West,10k,clear_cut,16
West,10k,clear_cut,17
West,10k,clear_cut,15
East,8k,control,46
East,8k,control,45
East,8k,control,43
East,8k,control,44
East,8k,control,42
East,8k,control,43
East,8k,control,44
East,8k,control,43
East,8k,control,41
East,8k,control,42
East,8k,clear_cut,30
East,8k,clear_cut,29
East,8k,clear_cut,28
East,8k,clear_cut,32
East,8k,clear_cut,28
East,8k,clear_cut,31
East,8k,clear_cut,31
East,8k,clear_cut,28
East,8k,clear_cut,28
East,8k,clear_cut,25
East,10k,control,24
East,10k,control,28
East,10k,control,25
East,10k,control,26
East,10k,control,26
East,10k,control,25
East,10k,control,24
East,10k,control,25
East,10k,control,28
East,10k,control,30
East,10k,clear_cut,9
East,10k,clear_cut,13
East,10k,clear_cut,10
East,10k,clear_cut,13
East,10k,clear_cut,9
East,10k,clear_cut,10
East,10k,clear_cut,12
East,10k,clear_cut,12
East,10k,clear_cut,12
East,10k,clear_cut,13
