density,block,fertilizer,yield
low,I,control,177.2286923
low,I,control,177.1254863
low,I,control,176.2749493
low,I,control,177.4795072
low,I,control,176.1083126
low,I,control,176.2390158
low,I,control,176.1605865
low,I,control,175.3608396
high,II,control,177.5500413
high,II,control,176.7783425
high,II,control,177.9672029
high,II,control,176.8741298
high,II,control,178.3574409
high,II,control,176.5730698
high,II,control,177.2264241
high,II,control,177.2769957
low,III,control,176.4084619
low,III,control,176.7463019
low,III,control,176.6012998
low,III,control,176.1143883
low,III,control,177.2624451
low,III,control,176.0392979
low,III,control,175.938533
low,III,control,175.9454438
high,IV,control,177.7036255
high,IV,control,177.0611642
high,IV,control,177.0305428
high,IV,control,176.0083945
high,IV,control,176.9188449
high,IV,control,176.8179222
high,IV,control,177.1649367
high,IV,control,175.8827796
low,I,N,177.1041864
low,I,N,177.0327097
low,I,N,177.3963306
low,I,N,177.1283675
low,I,N,176.3005171
low,I,N,177.0040381
low,I,N,177.6522746
low,I,N,178.1416444
high,II,N,178.0796352
high,II,N,178.2860419
high,II,N,176.9255758
high,II,N,177.1683022
high,II,N,177.5933524
high,II,N,178.0368584
high,II,N,177.1004179
high,II,N,177.7106125
low,III,N,176.9034221
low,III,N,176.4054102
low,III,N,177.0550458
low,III,N,176.3539406
low,III,N,177.1152452
low,III,N,177.7013663
low,III,N,177.187967
low,III,N,177.6872644
high,IV,N,177.5402842
high,IV,N,176.4308301
high,IV,N,177.3441639
high,IV,N,179.060899
high,IV,N,177.7944574
high,IV,N,177.6328083
high,IV,N,177.4052919
high,IV,N,177.118176
low,I,P,176.4793409
low,I,P,177.3854992
low,I,P,176.4348626
low,I,P,176.4367624
low,I,P,176.6037241
low,I,P,176.9990669
low,I,P,176.8958669
low,I,P,177.5806831
high,II,P,176.0443421
high,II,P,176.9758077
high,II,P,176.9332651
high,II,P,176.067745
high,II,P,177.2081714
high,II,P,178.1346046
high,II,P,177.7794929
high,II,P,176.9572689
low,III,P,177.4124617
low,III,P,177.3797787
low,III,P,175.9834802
low,III,P,177.1210486
low,III,P,177.1488286
low,III,P,176.429156
low,III,P,176.414495
low,III,P,175.7475456
high,IV,P,177.3608182
high,IV,P,177.9979951
high,IV,P,177.0340927
high,IV,P,177.1977214
high,IV,P,176.8190767
high,IV,P,176.6683229
high,IV,P,176.8788977
high,IV,P,177.3525951
