id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,year,pop
2077,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,"Hauraki gulf/Bay of Plenty, New Zealand",New Zealand,Oceania,-36,170,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Spawning stock biomass/tonnes,RV,No,1970,56376
2078,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,New Zealand SNA 8,New Zealand,Oceania,-37,173.5,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Spawning stock biomass/tonnes,Catch per unit effort and mark-recapture,No,1970,63953.4
2283,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus,,"Miller, 1778",King penguin,Macquarie Island,Australia,Oceania,-54.61667,158.9,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Artificial percentage increase,Unknown,No,1970,100
7730,Reptilia,Testudines,Cheloniidae,Natator,depressus,,"(Garman, 1880)",Flatback turtle,"Woongarra nesting population, Queensland, Australia",Australia,Oceania,-24.7,152.56667,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,nesters,unknown,No,1970,3
8970,Aves,Procellariiformes,Diomedeidae,Thalassarche,bulleri,,"(Rothschild, 1893)",Buller's albatross,"Mollymawk Bay, North East Island, The Snares, New Zealand",New Zealand,Oceania,-48.01667,166.56667,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of breeding pairs,Ground counts,No,1970,90
11202,Actinopteri,Perciformes,Platycephalidae,Platycephalus,richardsoni,,Castelnau 1872,Tiger flathead,South-eastern Australian continental shelf,Australia,Oceania,-34.90028,151.01472,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Catch weight per haul index,Historical trawler data,No,1970,3366.95
11206,Actinopteri,Centrarchiformes,Latridae,Nemadactylus,macropterus,,(Forster 1801),Tarakihi,South-eastern Australian continental shelf,Australia,Oceania,-34.90028,151.01472,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Catch weight per haul index,Historical trawler data,No,1970,17199.2
11255,Reptilia,Testudines,Cheloniidae,Natator,depressus,,"(Garman, 1880)",Flatback turtle,"Curtis Island, Australia",Australia,Oceania,-23.583611,151.1425,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of tracks (mid season average),Turtle tracks counted on beach during the nesting season,No,1970,47
11783,Mammalia,Cetacea,Delphinidae,Cephalorhynchus,hectori,,"van Beneden, 1881",Hector's dolphin,"South Island (east, south and west coasts), North Island (west coast)",New Zealand,Oceania,-43.303195,172.96051,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Estimated total population size,Statistical modelling using fishing effort data from 16 fisheries,No,1970,30398
15327,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,"(Linnaeus, 1758)",Loggerhead sea turtle / Loggerhead turtle,"Woongarra Coast beween Burnett and Elliott Rivers, mainland eastern Australia",Australia,Oceania,-24.821615,152.465775,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Total number of female turtles,Total tagging census for entire breeding season of five beaches of the Woongarra coast.,No,1970,368
