"carrier","dest","mean.delay","count"
"9E","BGR",34,1
"9E","CLE",25.6191950464396,349
"9E","ORD",23.5369059656218,1056
"9E","CLT",23.2242647058824,291
"9E","RDU",20.8329493087558,912
"9E","JAX",20.6729222520107,400
"9E","MCI",19.7121661721068,361
"9E","DFW",19.6795580110497,379
"9E","MSP",19.6581125827815,1249
"9E","BNA",19.0925110132159,474
"9E","MSY",19.0145631067961,437
"9E","AUS",19,2
"9E","DTW",18.8110647181628,1013
"9E","PHL",18.0415224913495,940
"9E","MKE",17.7348993288591,315
"9E","SAT",17.7058823529412,53
"9E","BWI",17.4658536585366,856
"9E","RIC",17.2391304347826,340
"9E","SYR",17.1698113207547,170
"9E","ROC",16.8278388278388,281
"9E","BUF",15.5081967213115,833
"9E","CVG",15.4249830278344,1559
"9E","SRQ",14.8571428571429,78
"9E","DCA",14.7903543307087,1074
"9E","BOS",14.756976744186,914
"9E","ORF",14.1390374331551,402
"9E","IND",14.1020942408377,401
"9E","PIT",13.0665859564165,864
"9E","TYS",12.7056603773585,308
"9E","CMH",12.6666666666667,13
"9E","CHS",12.5195195195195,348
"9E","DSM",12.5119047619048,91
"9E","IAD",11.1986970684039,664
"9E","GSP",7.92708333333333,102
"9E","SDF",7.52941176470588,263
"9E","MEM",7,3
"9E","RSW",6.29850746268657,67
"9E","DAY",6.06976744186047,391
"9E","MVY",4.09090909090909,71
"9E","GRR",2.43589743589744,44
"9E","ATL",0.964912280701754,59
"9E","MSN",-2,1
"9E","MHT",-2.4,11
"9E","AVL",-2.6,10
"9E","CAE",-3.66666666666667,3
"9E","TPA",-4.33333333333333,3
"9E","BTV",-4.5,2
"9E","GSO",-6,1
"9E","LEX",-9,1
"AA","EGE",23.4356435643564,103
"AA","SAN",17.2534818941504,365
"AA","SFO",16.3737517831669,1422
"AA","IAH",15.6176470588235,274
"AA","AUS",15.2479108635098,365
"AA","LAS",13.807874015748,639
"AA","TPA",10.9188311688312,311
"AA","SEA",10.0415512465374,365
"AA","ORD",9.32038834951456,6059
"AA","LAX",9.16811920157436,3582
"AA","SJU",8.60091743119266,1099
"AA","BOS",7.66526904262753,1455
"AA","DFW",7.4855392506055,7257
"AA","MIA",7.16761957885929,7234
"AA","STT",4.03654485049834,303
"AA","STL",3.83467278989667,902
"AA","PBI",3.375,82
"AA","MCO",2.34022038567493,730
"AA","FLL",2.32960893854749,182
"AS","SEA",5.80477528089888,714
"B6","DEN",23.8842729970326,338
"B6","PIT",20.8314606741573,90
"B6","SLC",18.956043956044,365
"B6","SMF",18.6914893617021,284
"B6","ORD",18.1380846325167,905
"B6","PDX",17.6759259259259,325
"B6","RDU",16.1845764854614,797
"B6","PBI",15.5787791626718,3161
"B6","PHX",15.5412087912088,365
"B6","IAD",15.3748125937031,675
"B6","AUS",14.9395161290323,747
"B6","MCO",14.8689010132502,6472
"B6","FLL",14.604532839963,6563
"B6","TPA",14.5328046142754,2800
"B6","SFO",14.5004859086492,1035
"B6","ABQ",13.740157480315,254
"B6","BUR",13.4756756756757,371
"B6","SYR",13.3453237410072,1266
"B6","OAK",13.3440514469453,312
"B6","CLT",13.237897648686,729
"B6","BOS",12.6545748613678,4383
"B6","BUF",12.6373467916366,2803
"B6","ROC",12.4647482014388,1406
"B6","SJU",12.1552612214864,2731
"B6","JAX",11.9793510324484,1026
"B6","MSY",11.8714821763602,1076
"B6","PWM",11.6267496111975,1304
"B6","SEA",11.5925925925926,514
"B6","LGB",11.183734939759,668
"B6","LAS",10.6001534919417,1310
"B6","HOU",10.5316455696203,714
"B6","BTV",10.4002965159377,1364
"B6","PSE",10.1468144044321,365
"B6","SJC",10.1406727828746,328
"B6","LAX",8.99465240641711,1688
"B6","MVY",8.38095238095238,150
"B6","RSW",7.96788990825688,1972
"B6","SAN",7.92749244712991,663
"B6","SRQ",7.05515587529976,839
"B6","BQN",6.6655462184874,599
"B6","CHS",6.6078431372549,613
